CODIGO      ATIVO
01-099AG    N      
01-1000     N      
01-1001-0   N      
01-1002     N      
01-1003     N      
01-1004-1   N      
01-1005     N      
01-1006-1   N      
01-1007     N      
01-1008-1   N      
01-1009     N      
01-1009-0   N      
01-1009A    N      
01-1009AG   N      
01-1009B    N      
01-1009BB   N      
01-1009I    N      
01-1009L    N      
01-1009P    N      
01-1010-0   N      
01-1010-1   N      
01-1011-0   N      
01-1011-1   N      
01-1011-2   N      
01-1011-6   N      
01-1012-2   N      
01-1012A    N      
01-1012AAG  N      
01-1012AU   N      
01-1012DAG  N      
01-1013-2   N      
01-1013A    N      
01-1013AAG  N      
01-1013AU   N      
01-1014-2   N      
01-1014AAG  N      
01-1015-1   N      
01-1015AG   N      
01-1015AG0  N      
01-1015AGB  N      
01-1015AI1  N      
01-1015I1   N      
01-1016     N      
01-1016-0   N      
01-1016AG   N      
01-1017-23  N      
01-1017-24  N      
01-1017-25  N      
01-1017-26  N      
01-1017-3   N      
01-1017-4   N      
01-1017-Q   N      
01-1017A1   N      
01-1017AAG  N      
01-1017AG   N      
01-1017AG0  N      
01-1017B    N      
01-1017B3   N      
01-1017B4   N      
01-1017B6   N      
01-1017B7   N      
01-1017B8   N      
01-1017B9   N      
01-1017I    N      
01-1017L    N      
01-1018     N      
01-1018-2   N      
01-1018A    N      
01-1019-3   N      
01-1019-6   N      
01-1019-7   N      
01-1019-8   N      
01-102      N      
01-1020-1   N      
01-1020A    N      
01-1020B    N      
01-1021-1   N      
01-1021-3   N      
01-1021-6   N      
01-1021-8   N      
01-1022-1   N      
01-1022-7   N      
01-1022A1   N      
01-1022AG   N      
01-1022AGR  N      
01-1022I1   N      
01-1023-1   N      
01-1023AG   N      
01-1023AG0  N      
01-1023AG1  N      
01-1023I1   N      
01-1024     N      
01-1025     N      
01-1026     N      
01-1026AG   N      
01-1027-2   N      
01-1027-23  N      
01-1027-24  N      
01-1027-25  N      
01-1027-26  N      
01-1027-3   N      
01-1027-4   N      
01-1027-6   N      
01-1027-7   N      
01-1027-8   N      
01-1027A    N      
01-1027A3   N      
01-1027A4   N      
01-1027A6   N      
01-1027A7   N      
01-1027A8   N      
01-1027A9   N      
01-1027AAG  N      
01-1027AG   N      
01-1027AG1  N      
01-1027AG2  N      
01-1027AG3  N      
01-1027AG4  N      
01-1027AG6  N      
01-1027AG7  N      
01-1027AI   N      
01-1027BG1  N      
01-1027BG6  N      
01-1027BG7  N      
01-1027BG8  N      
01-1027DA   N      
01-1027G56  N      
01-1027G59  N      
01-1027G60  N      
01-1027I    N      
01-1027I8   N      
01-1027L    N      
01-1027P    N      
01-1027P3   N      
01-1027P4   N      
01-1027P6   N      
01-1027P7   N      
01-1027P8   N      
01-1027P9   N      
01-1027Q    N      
01-1028-2   N      
01-1028-X   N      
01-1028A3   N      
01-1028A4   N      
01-1028A6   N      
01-1028A7   N      
01-1028A8   N      
01-1028A9   N      
01-1028AAG  N      
01-1028I    N      
01-1028I1   N      
01-1028L    N      
01-1029     N      
01-1029L    N      
01-102AG    N      
01-1030     N      
01-1030-0   N      
01-1030L    N      
01-1033     N      
01-1034     N      
01-1034D    N      
01-1034P    N      
01-1034SC   N      
01-1035     N      
01-1035A    N      
01-1035AG   N      
01-1035B    N      
01-1035BB   N      
01-1035I    N      
01-1035L    N      
01-1035P    N      
01-1036     N      
01-1036A    N      
01-1036AG   N      
01-1036BAG  N      
01-1036I    N      
01-1037     N      
01-1038-6   N      
01-1039-6   N      
01-1039-7   N      
01-1040-6   N      
01-1040-9   N      
01-1041-6   N      
01-1041-8   N      
01-1042A    N      
01-1042F    N      
01-1042I    N      
01-1042R    N      
01-1043A    N      
01-1043AI   N      
01-1043F    N      
01-1043I    N      
01-1043R    N      
01-1044     N      
01-1044AG   N      
01-1045     N      
01-1045AG   N      
01-1046     N      
01-1048     N      
01-1049A    N      
01-1049AAG  N      
01-1049AI   N      
01-1049I    N      
01-1049P    N      
01-105      N      
01-1050-1   N      
01-1050A    N      
01-1050AAG  N      
01-1050AG   N      
01-1050AG1  N      
01-1050AI1  N      
01-1050I1   N      
01-1050L1   N      
01-1050P1   N      
